PNUM,Total_tick,,PNUM,PID,schedTime,TurnAround,Response,CallCount,startSchedTick,firstSchedTick,EndSchedtick
20,8007,,20,4,400,8007,7,14,504,511,8511
,,,20,5,400,7987,37,14,504,541,8491
,,,20,6,400,7996,66,14,505,571,8501
,,,20,7,400,7966,96,14,505,601,8471
,,,20,8,400,7976,126,14,505,631,8481
,,,20,9,400,6095,155,15,506,661,6601
,,,20,10,400,6155,155,15,506,661,6661
,,,20,11,400,6135,155,15,506,661,6641
,,,20,12,400,5574,155,15,507,662,6081
,,,20,13,400,6144,155,15,507,662,6651
,,,20,14,400,5384,155,15,507,662,5891
,,,20,15,400,5943,155,15,508,663,6451
,,,20,16,400,5733,155,15,508,663,6241
,,,20,17,400,5933,155,15,508,663,6441
,,,20,18,400,5972,154,15,509,663,6481
,,,20,19,400,5892,155,15,509,664,6401
,,,20,20,400,6081,154,15,510,664,6591
,,,20,21,400,6041,154,15,510,664,6551
,,,20,22,400,5961,155,15,510,665,6471
,,,20,23,400,5950,154,15,511,665,6461
