PNUM,Total_tick,,PNUM,PID,schedTime,TurnAround,Response,CallCount,CreateTick,firstSchedTick,EndSchedtick,priority
20,8014,,20,4,400,7892,2,401,200,202,8092,80
,,,20,5,400,7892,3,401,200,203,8092,80
,,,20,6,400,7910,7,401,200,207,8110,80
,,,20,7,400,7907,5,401,203,208,8110,80
,,,20,8,400,7923,11,401,203,214,8126,80
,,,20,9,400,7933,6,402,208,214,8141,2
,,,20,10,400,7933,6,402,208,214,8141,2
,,,20,11,400,7946,14,402,208,222,8154,2
,,,20,12,400,7952,17,402,214,231,8166,2
,,,20,13,400,7944,9,402,222,231,8166,2
,,,20,14,400,7954,20,402,222,242,8176,2
,,,20,15,400,7954,23,402,231,254,8185,2
,,,20,16,400,7951,25,402,242,267,8193,2
,,,20,17,400,7946,27,402,254,281,8200,2
,,,20,18,400,7933,14,402,267,281,8200,2
,,,20,19,400,7938,30,402,267,297,8205,2
,,,20,20,400,7928,33,402,281,314,8209,2
,,,20,21,400,7912,17,402,297,314,8209,2
,,,20,22,400,7916,54,402,297,351,8213,2
